,Unnamed: 0,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
46257,46257,2020-01-01 21:00:00,4065.396157355305,2849.621426252081,8216.140297002892,2991.2388195669355,5237.638798970945,1478.7432399563716,1478.7432399563716,1478.7432399563716,191.56448315593934,191.56448315593934,191.56448315593934,54.244834836751785,54.244834836751785,54.244834836751785,1232.9339219636806,1232.9339219636806,1232.9339219636806,0.0,0.0,0.0,5544.139397311677
46258,46258,2020-01-02 21:00:00,4067.129546233883,2611.881014646561,7752.109299511875,2984.987647711478,5249.099371834275,1257.40272645719,1257.40272645719,1257.40272645719,191.5644831563077,191.5644831563077,191.5644831563077,-155.6691583602581,-155.6691583602581,-155.6691583602581,1221.5074016611404,1221.5074016611404,1221.5074016611404,0.0,0.0,0.0,5324.532272691073
46259,46259,2020-01-03 21:00:00,4068.862935112461,2715.73737763216,8234.815832703445,2978.7364758560248,5259.394142775627,1308.658310096881,1308.658310096881,1308.658310096881,191.56448315565305,191.56448315565305,191.56448315565305,-91.70533900766176,-91.70533900766176,-91.70533900766176,1208.7991659488898,1208.7991659488898,1208.7991659488898,0.0,0.0,0.0,5377.521245209342
46260,46260,2020-01-04 21:00:00,4070.59632399104,2917.549944019392,8251.125150983922,2972.4853040005682,5270.522636628017,1528.272632584377,1528.272632584377,1528.272632584377,191.5644831560213,191.5644831560213,191.5644831560213,141.38736416682798,141.38736416682798,141.38736416682798,1195.320785261528,1195.320785261528,1195.320785261528,0.0,0.0,0.0,5598.8689565754175
46261,46261,2020-01-05 21:00:00,4072.3297128696186,3204.068134036404,8179.791393874436,2966.2341321451104,5281.291239811994,1575.194477458875,1575.194477458875,1575.194477458875,191.56448315601418,191.56448315601418,191.56448315601418,202.04775599269504,202.04775599269504,202.04775599269504,1181.582238310166,1181.582238310166,1181.582238310166,0.0,0.0,0.0,5647.524190328493
46262,46262,2020-01-06 21:00:00,4074.063101748197,2449.7075438297634,8110.015491888023,2959.9829602896557,5292.059842995973,1324.6726227240736,1324.6726227240736,1324.6726227240736,191.56448315573502,191.56448315573502,191.56448315573502,-34.96917448154718,-34.96917448154718,-34.96917448154718,1168.0773140498857,1168.0773140498857,1168.0773140498857,0.0,0.0,0.0,5398.735724472271
46263,46263,2020-01-07 21:00:00,4075.796490626776,2597.554133068465,7910.219099543578,2953.731788434199,5302.828446179953,1231.4980071495775,1231.4980071495775,1231.4980071495775,191.56448315610334,191.56448315610334,191.56448315610334,-115.33628314645917,-115.33628314645917,-115.33628314645917,1155.2698071399334,1155.2698071399334,1155.2698071399334,0.0,0.0,0.0,5307.294497776354
46264,46264,2020-01-08 21:00:00,4077.5298795053545,2659.4155345561912,8305.319073465736,2947.4806165787427,5311.389810810249,1389.390216840654,1389.390216840654,1389.390216840654,191.56448315609614,191.56448315609614,191.56448315609614,54.24483483675804,54.24483483675804,54.24483483675804,1143.5808988477995,1143.5808988477995,1143.5808988477995,0.0,0.0,0.0,5466.920096346008
46265,46265,2020-01-09 21:00:00,4079.263268383933,2583.6593683194988,8001.885033911124,2941.2294447232885,5319.674368501255,1169.2734000208275,1169.2734000208275,1169.2734000208275,191.56448315581704,191.56448315581704,191.56448315581704,-155.66915835976747,-155.66915835976747,-155.66915835976747,1133.378075224778,1133.378075224778,1133.378075224778,0.0,0.0,0.0,5248.53666840476
46266,46266,2020-01-10 21:00:00,4080.996657262511,2708.6756746463875,8004.057375706976,2934.9782728678333,5327.958926192265,1224.825028636351,1224.825028636351,1224.825028636351,191.56448315580985,191.56448315580985,191.56448315580985,-91.70533900833168,-91.70533900833168,-91.70533900833168,1124.9658844888727,1124.9658844888727,1124.9658844888727,0.0,0.0,0.0,5305.821685898863
