ds,sample_solar_predict
1/24/2020 0:00,-29.42878377
1/24/2020 1:00,0.79168301
1/24/2020 2:00,29.88967992
1/24/2020 3:00,12.13396805
1/24/2020 4:00,-27.55675952
1/24/2020 5:00,21.0613364
1/24/2020 6:00,284.1713044
1/24/2020 7:00,804.9075551
1/24/2020 8:00,1498.273646
1/24/2020 9:00,2195.56105
1/24/2020 10:00,2736.242408
1/24/2020 11:00,3031.577672
1/24/2020 12:00,3062.237366
1/24/2020 13:00,2839.229487
1/24/2020 14:00,2385.070344
1/24/2020 15:00,1755.991174
1/24/2020 16:00,1068.456837
1/24/2020 17:00,478.3843751
1/24/2020 18:00,107.7572533
1/24/2020 19:00,-26.11315954
1/24/2020 20:00,-13.47695698
1/24/2020 21:00,21.84888674
1/24/2020 22:00,12.2015449
1/24/2020 23:00,-24.61345023
