ds,sample_actual_load
1/24/2020 0:00,63990.35078
1/24/2020 1:00,61194.03282
1/24/2020 2:00,59036.48785
1/24/2020 3:00,58867.16309
1/24/2020 4:00,61029.6536
1/24/2020 5:00,64563.14014
1/24/2020 6:00,67957.88025
1/24/2020 7:00,70252.95419
1/24/2020 8:00,71491.14765
1/24/2020 9:00,72220.16558
1/24/2020 10:00,72663.80284
1/24/2020 11:00,72454.75166
1/24/2020 12:00,71179.71129
1/24/2020 13:00,69109.26685
1/24/2020 14:00,67270.27779
1/24/2020 15:00,66687.13902
1/24/2020 16:00,67489.68379
1/24/2020 17:00,68767.57741
1/24/2020 18:00,69343.48296
1/24/2020 19:00,68739.6394
1/24/2020 20:00,67425.2559
1/24/2020 21:00,66150.33341
1/24/2020 22:00,65082.00439
1/24/2020 23:00,63649.80077
