ds,sample_wind_predicted
1/24/2020 0:00,5214.152248
1/24/2020 1:00,5156.890377
1/24/2020 2:00,5118.296276
1/24/2020 3:00,5097.334554
1/24/2020 4:00,5078.165304
1/24/2020 5:00,5042.27349
1/24/2020 6:00,4983.588876
1/24/2020 7:00,4916.026279
1/24/2020 8:00,4867.56365
1/24/2020 9:00,4864.144989
1/24/2020 10:00,4913.769857
1/24/2020 11:00,5001.011637
1/24/2020 12:00,5095.174344
1/24/2020 13:00,5166.589699
1/24/2020 14:00,5201.13247
1/24/2020 15:00,5205.193283
1/24/2020 16:00,5199.668148
1/24/2020 17:00,5207.447349
1/24/2020 18:00,5241.285423
1/24/2020 19:00,5297.646359
1/24/2020 20:00,5358.843467
1/24/2020 21:00,5402.183672
1/24/2020 22:00,5411.792926
1/24/2020 23:00,5387.167481
